id,cc,sex,gen,dob,day,sire,dam
15211,B,F,F10,4/20/1998,M,13482,13468
15212,B,M,F10,4/20/1998,M,13482,13468
15241,B,M,F10,4/22/1998,W,13550,13115
15243,B,M,F10,4/22/1998,W,13513,13477
15287,W,F,F10,4/23/1998,Th,12625,12680
15299,T,F,F10,4/24/1998,F,13284,13521
15303,T,M,F10,4/24/1998,F,13284,13521
15305,B,F,F10,4/24/1998,F,13298,13553
15308,B,M,F10,4/24/1998,F,13298,13553
15316,B,M,F10,4/24/1998,F,12659,12602
15321,B,F,F10,4/24/1998,F,12659,12602
15336,W,M,F10,4/25/1998,Sa,12698,12626
15345,W,F,F10,4/25/1998,Sa,12698,12626
15352,T,M,F10,4/26/1998,Su,13456,13518
15367,T,M,F10,4/26/1998,Su,13522,13282
15375,W,F,F10,4/26/1998,Su,12600,12704
15376,W,M,F10,4/26/1998,Su,12600,12704
15388,B,F,F10,4/27/1998,M,13385,13203
15391,B,F,F10,4/27/1998,M,13593,13240
15396,B,M,F10,4/27/1998,M,13593,13240
15404,B,F,F10,4/27/1998,M,13579,13252
15407,W,M,F10,4/27/1998,M,13579,13252
15410,W,F,F10,4/27/1998,M,13088,13584
15423,T,M,F10,4/27/1998,M,13643,13443
15426,B,F,F10,4/27/1998,M,13643,13443
15459,T,M,F10,4/28/1998,Tu,12796,12677
15460,T,F,F10,4/28/1998,Tu,12796,12677
15472,T,M,F10,4/29/1998,W,13610,13453
15485,W,F,F10,4/29/1998,W,13610,13453
15488,B,F,F10,4/29/1998,W,13657,13595
15526,B,M,F10,4/30/1998,Th,13583,13375
15534,B,F,F10,4/30/1998,Th,13565,13865
15538,B,M,F10,4/30/1998,Th,13565,13865
15543,T,M,F10,4/30/1998,Th,13834,13652
15546,B,F,F10,4/30/1998,Th,13834,13652
15550,B,F,F10,4/30/1998,Th,13834,13652
15555,B,M,F10,4/30/1998,Th,12759,12821
15566,W,F,F10,4/30/1998,Th,12617,12778
15569,B,M,F10,4/30/1998,Th,12617,12778
15575,exotic,M,F10,5/1/1998,F,13552,13847
15594,W,M,F10,5/2/1998,Sa,13393,13850
15603,B,F,F10,5/2/1998,Sa,13393,13850
15608,B,F,F10,5/2/1998,Sa,13435,13833
15612,W,M,F10,5/2/1998,Sa,13435,13833
15616,T,M,F10,5/2/1998,Sa,13849,13604
15622,B,F,F10,5/2/1998,Sa,13849,13604
15625,W,M,F10,5/2/1998,Sa,13840,13639
15627,T,F,F10,5/2/1998,Sa,13840,13639
15641,B,F,F10,5/3/1998,Su,12882,12660
15643,B,M,F10,5/3/1998,Su,12882,12660
15647,B,F,F10,5/3/1998,Su,12706,12618
15649,B,M,F10,5/3/1998,Su,12706,12618
15650,B,F,F10,5/4/1998,M,13247,13628
15652,B,M,F10,5/4/1998,M,13247,13628
15671,W,F,F10,5/6/1998,W,13622,13416
15673,W,M,F10,5/6/1998,W,13622,13416
15677,B,F,F10,5/6/1998,W,12719,12609
15681,B,F,F10,5/6/1998,W,12719,12609
15687,W,M,F10,5/7/1998,Th,13860,13917
15689,W,F,F10,5/7/1998,Th,13860,13917
15701,T,F,F10,5/7/1998,Th,12955,12703
15703,B,M,F10,5/7/1998,Th,12955,12703
15710,B,M,F10,5/7/1998,Th,13534,13842
15712,T,F,F10,5/7/1998,Th,13534,13842
15715,B,M,F10,5/8/1998,F,13918,13346
15720,B,F,F10,5/8/1998,F,12984,12726
15742,T,F,F10,5/9/1998,Sa,13994,13634
15750,W,F,F10,5/10/1998,Su,13858,13544
15754,T,M,F10,5/10/1998,Su,13858,13544
15756,W,M,F10,5/10/1998,Su,12830,12956
15759,W,F,F10,5/10/1998,Su,12830,12956
15767,T,F,F10,5/10/1998,Su,12820,12987
15768,T,M,F10,5/10/1998,Su,12820,12987
15802,W,F,F10,5/13/1998,W,12944,12674
15815,T,F,F10,5/13/1998,W,12773,13033
15832,B,M,F10,5/13/1998,W,13242,13448
15852,B,F,F10,5/14/1998,Th,13631,14079
15854,B,M,F10,5/14/1998,Th,13631,14079
15857,B,F,F10,5/14/1998,Th,13501,14112
15865,T,M,F10,5/14/1998,Th,13501,14112
15867,W,F,F10,5/14/1998,Th,14121,13995
15956,W,M,F10,5/18/1998,M,12976,12889
15957,B,F,F10,5/18/1998,M,12809,13026
15960,B,M,F10,5/18/1998,M,12809,13026
15986,B,M,F10,5/20/1998,W,12600,12788
15988,T,F,F10,5/20/1998,W,12600,12788
15994,W,M,F10,5/20/1998,W,12828,13063
16012,B,M,F10,5/21/1998,Th,13200,13144
16058,B,F,F10,5/22/1998,F,13184,12767
16060,B,M,F10,5/22/1998,F,13184,12767
16062,W,F,F10,5/22/1998,F,13021,13196
16066,B,M,F10,5/22/1998,F,13021,13196
16096,W,F,F10,5/24/1998,Su,13157,12908
16101,B,M,F10,5/24/1998,Su,13157,12908
16107,B,F,F10,5/24/1998,Su,13256,13304
16109,B,M,F10,5/24/1998,Su,13256,13304
16144,B,M,F10,5/25/1998,M,13153,13576
16151,T,F,F10,5/25/1998,M,12886,13271
16159,T,M,F10,5/26/1998,Tu,13308,13155
16164,B,F,F10,5/26/1998,Tu,13308,13155
16189,B,F,F10,5/27/1998,W,13135,12837
16194,W,F,F10,5/27/1998,W,13057,13207
16197,W,M,F10,5/27/1998,W,13057,13207
16204,B,F,F10,5/28/1998,Th,13397,13366
16208,W,M,F10,5/28/1998,Th,13397,13366
16387,T,M,F10,6/10/1998,W,13522,13282
