id,cc,sex,gen,dob,day,sire,dam
66,white,F,F2,12/11/1995,M,?,3
67,black,F,F2,12/11/1995,M,?,3
68,black,M,F2,12/11/1995,M,?,3
73,black,M,F2,12/11/1995,M,?,3
84,white,M,F2,12/13/1995,W,16,12
87,black,M,F2,12/13/1995,W,16,12
97,black,F,F2,12/14/1995,TH,4,17
100,black,M,F2,12/14/1995,TH,4,17
101,black,F,F2,12/14/1995,TH,4,17
104,white,F,F2,12/15/1995,F,33,11
108,black,M,F2,12/15/1995,F,33,11
113,black,F,F2,12/15/1995,F,33,11
115,white,M,F2,12/15/1995,F,19,8
116,white,F,F2,12/15/1995,F,19,8
118,white,M,F2,12/15/1995,F,19,8
120,tan,M,F2,12/15/1995,F,19,8
121,tan,F,F2,12/15/1995,F,19,8
123,tan,M,F2,12/15/1995,F,19,8
124,black,F,F2,12/15/1995,F,19,8
125,tan,M,F2,12/15/1995,F,19,8
127,white,M,F2,12/15/1995,F,22,9
128,white,F,F2,12/15/1995,F,22,9
130,white,F,F2,12/15/1995,F,22,9
131,tan,M,F2,12/15/1995,F,22,9
132,black,F,F2,12/15/1995,F,22,9
135,black,F,F2,12/15/1995,F,22,9
136,black,M,F2,12/15/1995,F,22,9
141,black,F,F2,12/15/1995,F,25,35
143,black,M,F2,12/15/1995,F,25,35
154,tan,M,F2,12/15/1995,F,3,6
155,tan,F,F2,12/15/1995,F,3,6
160,black,M,F2,12/18/1995,M,18,26
162,black,F,F2,12/18/1995,M,18,26
165,white,M,F2,12/18/1995,M,18,26
167,white,F,F2,12/18/1995,M,23,36
168,white,F,F2,12/18/1995,M,23,36
175,tan,F,F2,12/18/1995,M,23,36
178,black,F,F2,12/18/1995,M,14,1
183,black,M,F2,12/18/1995,M,14,1
186,white,M,F2,12/21/1995,TH,5,28
187,white,F,F2,12/21/1995,TH,5,28
190,tan,F,F2,12/21/1995,TH,5,28
191,tan,F,F2,12/21/1995,TH,5,28
195,black,M,F2,12/21/1995,TH,5,28
196,white,M,F2,12/25/1995,M,21,2
197,white,M,F2,12/25/1995,M,21,2
198,black,F,F2,12/25/1995,M,21,2
200,black,M,F2,12/25/1995,M,21,2
201,black,F,F2,12/25/1995,M,21,2
202,black,F,F2,12/25/1995,M,21,2
203,black,F,F2,12/25/1995,M,21,2
204,black,M,F2,12/25/1995,M,21,2
208,white,F,F2,1/8/1996,M,34,43
210,black,M,F2,1/8/1996,M,34,43
213,tan,F,F2,1/8/1996,M,34,43
215,black,F,F2,1/8/1996,M,34,43
216,tan,F,F2,1/8/1996,M,34,43
217,black,M,F2,1/8/1996,M,34,43
218,tan,M,F2,1/9/1996,TU,31,46
220,black,M,F2,1/9/1996,TU,31,46
222,black,M,F2,1/9/1996,TU,31,46
223,tan,M,F2,1/9/1996,TU,31,46
225,black,M,F2,1/9/1996,TU,31,46
226,white,F,F2,1/10/1996,W,24,37
228,white,F,F2,1/10/1996,W,24,37
229,white,M,F2,1/10/1996,W,24,37
230,white,M,F2,1/10/1996,W,24,37
231,tan,M,F2,1/10/1996,W,24,37
232,tan,M,F2,1/10/1996,W,24,37
233,black,F,F2,1/10/1996,W,24,37
236,black,F,F2,1/10/1996,W,24,37
238,white,M,F2,1/10/1996,W,27,39
239,white,M,F2,1/10/1996,W,27,39
242,black,F,F2,1/10/1996,W,27,39
243,black,F,F2,1/10/1996,W,27,39
245,black,M,F2,1/10/1996,W,27,39
249,tan,F,F2,1/10/1996,W,27,39
250,black,M,F2,1/10/1996,W,29,40
251,white,M,F2,1/10/1996,W,29,40
253,white,F,F2,1/10/1996,W,29,40
256,white,F,F2,1/10/1996,W,29,40
259,tan,M,F2,1/10/1996,W,38,47
260,white,F,F2,1/10/1996,W,38,47
262,tan,M,F2,1/10/1996,W,38,47
263,tan,M,F2,1/10/1996,W,38,47
265,tan,M,F2,1/10/1996,W,38,47
266,white,F,F2,1/10/1996,W,38,47
267,tan,F,F2,1/10/1996,W,38,47
269,tan,F,F2,1/10/1996,W,38,47
272,black,F,F2,1/10/1996,W,41,50
274,black,M,F2,1/10/1996,W,41,50
275,black,F,F2,1/10/1996,W,41,50
280,black,F,F2,1/10/1996,W,41,50
282,black,F,F2,1/10/1996,W,41,50
284,white,F,F2,1/31/1996,W,5,36
285,white,F,F2,1/31/1996,W,5,36
288,black,F,F2,1/31/1996,W,5,36
289,black,F,F2,1/31/1996,W,5,36
290,black,F,F2,1/31/1996,W,5,36
291,white,F,F2,1/31/1996,W,5,36
292,black,F,F2,1/31/1996,W,5,36
297,tan,M,F2,1/31/1996,W,14,9
298,tan,M,F2,1/31/1996,W,14,9
299,black,F,F2,1/31/1996,W,14,9
300,black,F,F2,1/31/1996,W,14,9
301,tan,M,F2,1/31/1996,W,14,9
302,tan,F,F2,1/31/1996,W,14,9
307,tan,F,F2,1/31/1996,W,21,6
308,tan,M,F2,1/31/1996,W,21,6
309,white,F,F2,1/31/1996,W,21,6
312,black,M,F2,1/31/1996,W,21,6
314,black,F,F2,1/31/1996,W,21,6
315,white,F,F2,1/31/1996,W,21,6
316,black,F,F2,2/1/1996,TH,15,11
317,black,M,F2,2/1/1996,TH,15,11
318,white,F,F2,2/1/1996,TH,15,11
319,white,M,F2,2/1/1996,TH,15,11
323,black,M,F2,2/1/1996,TH,15,11
324,black,F,F2,2/1/1996,TH,15,11
326,black,M,F2,2/1/1996,TH,15,11
327,black,F,F2,2/1/1996,TH,15,11
328,black,F,F2,2/1/1996,TH,7,35
331,white,F,F2,2/1/1996,TH,7,35
332,black,F,F2,2/1/1996,TH,7,35
333,black,M,F2,2/1/1996,TH,7,35
334,black,F,F2,2/1/1996,TH,7,35
336,black,M,F2,2/1/1996,TH,7,35
337,black,F,F2,2/1/1996,TH,7,35
338,black,F,F2,2/5/1996,M,4,26
339,white,F,F2,2/5/1996,M,4,26
340,black,F,F2,2/5/1996,M,4,26
341,white,F,F2,2/5/1996,M,4,26
342,black,M,F2,2/5/1996,M,4,26
343,black,M,F2,2/5/1996,M,4,26
344,white,M,F2,2/5/1996,M,4,26
346,black,F,F2,2/5/1996,M,4,26
347,black,F,F2,2/5/1996,M,4,26
348,black,M,F2,2/5/1996,M,4,26
349,tan,M,F2,2/8/1996,TH,25,8
350,black,M,F2,2/8/1996,TH,25,8
351,black,F,F2,2/5/1996,M,4,26
354,black,F,F2,2/8/1996,TH,25,8
355,tan,M,F2,2/8/1996,TH,25,8
356,white,F,F2,2/8/1996,TH,25,8
357,black,F,F2,2/8/1996,TH,25,8
359,black,M,F2,2/8/1996,TH,25,8
360,black,F,F2,2/8/1996,TH,25,8
363,black,M,F2,2/12/1996,M,18,1
364,black,F,F2,2/12/1996,M,18,1
365,black,M,F2,2/12/1996,M,18,1
366,black,F,F2,2/12/1996,M,18,1
370,black,M,F2,2/12/1996,M,18,1
371,black,M,F2,2/25/1996,SU,51,39
372,white,F,F2,2/25/1996,SU,51,39
373,tan,M,F2,2/25/1996,SU,51,39
374,white,F,F2,2/25/1996,SU,51,39
375,black,M,F2,2/25/1996,SU,51,39
377,white,M,F2,2/25/1996,SU,51,39
378,black,M,F2,2/25/1996,SU,51,39
379,black,F,F2,2/25/1996,SU,51,39
382,black,F,F2,2/25/1996,SU,51,39
383,black,M,F2,2/27/1996,TU,52,38
385,black,F,F2,2/27/1996,TU,52,38
387,black,M,F2,2/27/1996,TU,52,38
388,black,M,F2,2/27/1996,TU,52,38
389,white,F,F2,2/27/1996,TU,52,38
390,black,M,F2,2/27/1996,TU,52,38
392,white,M,F2,2/27/1996,TU,52,38
393,black,M,F2,2/27/1996,TU,48,30
394,black,M,F2,2/27/1996,TU,48,30
395,black,M,F2,2/27/1996,TU,48,30
396,black,F,F2,2/27/1996,TU,48,30
397,white,F,F2,2/27/1996,TU,48,30
398,tan,F,F2,2/29/1996,TH,31,10
399,tan,M,F2,2/29/1996,TH,31,10
400,black,M,F2,2/29/1996,TH,31,10
401,black,F,F2,2/29/1996,TH,31,10
402,black,M,F2,2/29/1996,TH,31,10
403,black,M,F2,2/29/1996,TH,31,10
405,white,M,F2,2/29/1996,TH,31,10
406,tan,M,F2,2/29/1996,TH,31,10
