id,cc,sex,gen,dob,day,sire,dam
2215,black,F,F4,7/18/1996,TH,680,789
2287,black,M,F4,7/19/1996,F,545,888
2291,white,F,F4,7/19/1996,F,545,888
2380,white,F,F4,7/20/1996,SA,692,679
2391,black,F,F4,7/20/1996,SA,889,1032
2393,tan,M,F4,7/20/1996,SA,889,1032
2396,black,F,F4,7/20/1996,SA,738,572
2401,tan,M,F4,7/20/1996,SA,738,572
2407,white,M,F4,7/20/1996,SA,1029,1162
2409,white,F,F4,7/20/1996,SA,1029,1162
2519,black,F,F4,7/21/1996,SU,662,759
2527,black,M,F4,7/21/1996,SU,662,759
2536,white,M,F4,7/21/1996,SU,697,569
2538,tan,F,F4,7/21/1996,SU,697,569
2548,white,M,F4,7/21/1996,SU,731,948
2549,white,M,F4,7/21/1996,SU,731,948
2551,white,F,F4,7/21/1996,SU,955,699
2561,black,M,F4,7/21/1996,SU,955,699
2566,white,M,F4,7/21/1996,SU,1011,1094
2569,white,F,F4,7/21/1996,SU,1011,1094
2571,white,M,F4,7/21/1996,SU,1102,733
2585,black,M,F4,7/22/1996,M,1060,684
2593,white,M,F4,7/22/1996,M,1140,950
2597,white,F,F4,7/22/1996,M,1140,950
2611,white,M,F4,7/23/1996,TU,575,1139
2613,tan,F,F4,7/23/1996,TU,575,1139
2624,tan,M,F4,7/23/1996,TU,578,1090
2625,tan,F,F4,7/23/1996,TU,578,1090
2628,black,F,F4,7/23/1996,TU,792,1115
2631,black,M,F4,7/23/1996,TU,792,1115
2639,black,F,F4,7/23/1996,TU,854,1086
2644,tan,M,F4,7/23/1996,TU,854,1086
2648,tan,F,F4,7/23/1996,TU,1036,1070
2653,white,M,F4,7/23/1996,TU,1036,1070
2663,white,M,F4,7/23/1996,TU,696,1124
2665,white,F,F4,7/23/1996,TU,696,1124
2676,white,F,F4,7/23/1996,TU,1079,1057
2678,white,M,F4,7/23/1996,TU,1079,1057
2679,tan,F,F4,7/24/1996,W,691,1085
2688,black,M,F4,7/24/1996,W,1059,853
2695,black,F,F4,7/24/1996,W,1059,853
2698,black,F,F4,7/24/1996,W,1071,1065
2700,black,M,F4,7/24/1996,W,1071,1065
2706,black,F,F4,7/24/1996,W,1118,1030
2711,black,M,F4,7/24/1996,W,1118,1030
2718,tan,F,F4,7/25/1996,TH,951,694
2720,white,M,F4,7/25/1996,TH,951,694
2745,tan,F,F4,7/27/1996,SA,1091,1138
2759,black,M,F4,7/28/1996,SU,1134,705
2761,black,F,F4,7/28/1996,SU,1134,705
2780,black,M,F4,8/3/1996,SA,1163,730
2782,white,F,F4,8/3/1996,SA,1163,730
2785,black,M,F4,8/3/1996,SA,1163,730
2958,white,M,F4,8/21/1996,W,1319,1219
2960,white,F,F4,8/21/1996,W,1319,1219
2972,black,M,F4,8/21/1996,W,1254,1235
2976,white,F,F4,8/21/1996,W,1254,1235
2985,white,M,F4,8/21/1996,W,1413,1315
2986,white,F,F4,8/21/1996,W,1413,1315
3055,black,F,F4,8/22/1996,TH,1328,1223
3059,black,M,F4,8/22/1996,TH,1328,1223
3064,white,F,F4,8/22/1996,TH,1342,1264
3069,tan,M,F4,8/22/1996,TH,1342,1264
3074,tan,F,F4,8/22/1996,TH,1333,1190
3080,black,M,F4,8/22/1996,TH,1333,1190
3207,black,F,F4,8/23/1996,F,1209,1380
3209,black,M,F4,8/23/1996,F,1209,1380
3217,black,M,F4,8/23/1996,F,1379,1401
3225,black,F,F4,8/23/1996,F,1417,1337
3235,black,M,F4,8/23/1996,F,1417,1337
3254,tan,F,F4,8/23/1996,F,1462,1320
3257,black,M,F4,8/23/1996,F,1462,1320
3269,black,F,F4,8/24/1996,Sa,1252,1390
3270,black,M,F4,8/24/1996,Sa,1252,1390
3274,black,M,F4,8/24/1996,Sa,1214,1282
3281,black,F,F4,8/25/1996,Su,1214,1282
3293,white,F,F4,8/25/1996,Su,1314,1377
3304,white,M,F4,8/25/1996,Su,1314,1377
3320,white,M,F4,8/27/1996,Tu,1435,1367
3329,white,F,F4,8/27/1996,Tu,1283,1486
3333,white,M,F4,8/27/1996,Tu,1283,1486
3337,black,M,F4,8/28/1996,W,1501,1293
3345,black,F,F4,8/28/1996,W,1501,1293
3378,tan,F,F4,8/29/1996,Th,1479,1463
3379,black,M,F4,8/29/1996,Th,1479,1463
3384,tan,M,F4,8/30/1996,F,1485,1273
3387,tan,F,F4,8/30/1996,F,1485,1273
3394,tan,M,F4,8/30/1996,F,1467,1481
3400,black,F,F4,8/30/1996,F,1231,1510
3403,black,M,F4,8/30/1996,F,1231,1510
3409,white,M,F4,9/1/1996,Su,1387,1261
3414,white,F,F4,9/1/1996,Su,1387,1261
3475,black,F,F4,9/4/1996,W,1539,1541
3483,black,M,F4,9/4/1996,W,1539,1541
3485,black,M,F4,9/4/1996,W,1532,1586
3488,black,F,F4,9/4/1996,W,1532,1586
3494,tan,F,F4,9/4/1996,W,1391,1419
3496,tan,M,F4,9/4/1996,W,1391,1419
3504,black,F,F4,9/4/1996,W,1561,1198
3505,black,M,F4,9/4/1996,W,1561,1198
