id,cc,sex,gen,dob,day,sire,dam
545,white,M,F3,3/25/1996,M,100,116
569,white,F,F3,3/26/1996,TU,186,167
572,black,F,F3,3/26/1996,TU,87,132
575,white,M,F3,3/26/1996,TU,186,167
578,black,M,F3,3/26/1996,TU,87,132
662,black,M,F3,3/27/1996,W,84,198
679,white,F,F3,3/27/1996,W,127,141
680,white,M,F3,3/27/1996,W,127,141
684,black,F,F3,3/27/1996,W,154,113
691,tan,M,F3,3/27/1996,W,154,113
692,white,M,F3,3/27/1996,W,125,128
694,tan,F,F3,3/27/1996,W,125,128
696,white,M,F3,3/28/1996,TH,165,202
697,black,M,F3,3/28/1996,TH,165,202
699,black,F,F3,3/28/1996,TH,73,101
705,black,F,F3,3/28/1996,TH,73,101
730,black,F,F3,3/28/1996,TH,196,124
731,black,M,F3,3/28/1996,TH,196,124
733,tan,F,F3,3/28/1996,TH,204,121
738,tan,M,F3,3/28/1996,TH,204,121
759,black,F,F3,3/28/1996,TH,195,178
789,black,F,F3,3/29/1996,F,68,201
792,black,M,F3,3/29/1996,F,68,201
853,black,F,F3,4/8/1996,M,123,191
854,black,M,F3,4/8/1996,M,123,191
888,black,F,F3,4/10/1996,W,210,266
889,black,M,F3,4/10/1996,W,210,266
948,white,F,F3,4/12/1996,F,251,272
950,white,F,F3,4/12/1996,F,218,282
951,white,M,F3,4/12/1996,F,218,282
955,white,M,F3,4/12/1996,F,251,272
1011,black,M,F3,4/12/1996,F,200,280
1029,white,M,F3,4/12/1996,F,259,256
1030,white,F,F3,4/12/1996,F,259,256
1032,tan,F,F3,4/12/1996,F,220,267
1036,white,M,F3,4/12/1996,F,239,260
1057,white,F,F3,4/13/1996,SA,238,269
1059,black,M,F3,4/13/1996,SA,238,269
1060,black,M,F3,4/13/1996,SA,245,233
1065,black,F,F3,4/13/1996,SA,250,215
1070,black,F,F3,4/13/1996,SA,231,208
1071,black,M,F3,4/13/1996,SA,231,208
1079,white,M,F3,4/13/1996,SA,223,243
1085,tan,F,F3,4/13/1996,SA,274,253
1086,tan,F,F3,4/13/1996,SA,223,243
1090,tan,F,F3,4/13/1996,SA,232,216
1091,tan,M,F3,4/13/1996,SA,232,216
1094,white,F,F3,4/13/1996,SA,217,228
1102,white,M,F3,4/13/1996,SA,217,228
1115,black,F,F3,4/14/1996,SU,183,226
1118,tan,M,F3,4/14/1996,SU,263,242
1124,tan,F,F3,4/14/1996,SU,263,242
1134,black,M,F3,4/14/1996,SU,197,249
1138,tan,F,F3,4/14/1996,SU,197,249
1139,black,F,F3,4/14/1996,SU,?,135
1140,black,M,F3,4/14/1996,SU,?,135
1162,black,F,F3,4/21/1996,SU,230,275
1163,black,M,F3,4/21/1996,SU,230,275
1182,black,M,F2,5/19/1996,SU,44,40
1190,black,F,F2,5/19/1996,SU,45,35
1191,black,M,F2,5/19/1996,SU,45,35
1198,black,F,F3,5/19/1996,SU,323,332
1202,black,F,F3,5/19/1996,SU,326,334
1207,black,M,F3,5/19/1996,SU,326,334
1209,black,M,F3,5/19/1996,SU,323,332
1214,black,M,F3,5/20/1996,M,349,292
1219,white,F,F3,5/20/1996,M,143,130
1223,black,F,F3,5/20/1996,M,349,292
1225,tan,F,F3,5/20/1996,M,297,315
1231,tan,M,F3,5/20/1996,M,297,315
1235,white,F,F3,5/20/1996,M,131,309
1252,white,M,F3,5/20/1996,M,363,299
1254,tan,M,F3,5/20/1996,M,301,318
1261,white,F,F3,5/20/1996,M,301,318
1264,black,F,F3,5/20/1996,M,363,299
1273,black,F,F3,5/20/1996,M,312,327
1282,white,F,F3,5/20/1996,M,342,284
1283,white,M,F3,5/20/1996,M,342,284
1293,black,F,F3,5/20/1996,M,350,316
1310,black,F,F3,5/21/1996,T,298,314
1313,black,M,F3,5/21/1996,T,298,314
1314,tan,M,F3,5/21/1996,T,344,302
1315,white,F,F3,5/21/1996,T,344,302
1319,white,M,F3,5/21/1996,T,319,331
1320,white,F,F3,5/21/1996,T,225,104
1328,white,M,F3,5/21/1996,T,225,104
1332,tan,F,F3,5/21/1996,T,259,66
1333,tan,M,F3,5/21/1996,T,265,175
1337,black,F,F3,5/21/1996,T,265,175
1342,tan,M,F3,5/21/1996,T,259,66
1365,white,M,F3,5/22/1996,W,229,187
1367,white,F,F3,5/22/1996,W,229,187
1377,white,F,F3,5/22/1996,W,160,168
1379,black,M,F3,5/22/1996,W,160,168
1380,black,F,F3,5/22/1996,W,136,67
1381,black,M,F3,5/22/1996,W,136,67
1387,white,M,F3,5/22/1996,W,317,291
1390,black,F,F3,5/22/1996,W,355,307
1391,tan,M,F3,5/22/1996,W,355,307
1401,black,F,F3,5/22/1996,W,317,291
1411,white,F,F3,5/22/1996,W,262,155
1413,tan,M,F3,5/22/1996,W,262,155
1417,black,M,F3,5/22/1996,W,120,162
1419,tan,F,F3,5/22/1996,W,120,162
1422,black,F,F3,5/22/1996,W,365,288
1435,white,M,F3,5/22/1996,W,365,288
1462,tan,M,F3,5/23/1996,TH,308,328
1463,black,F,F3,5/23/1996,TH,308,328
1466,black,F,F3,5/23/1996,TH,343,290
1467,white,M,F3,5/23/1996,TH,343,290
1477,black,M,F3,5/23/1996,TH,108,203
1479,white,M,F3,5/24/1996,F,118,213
1481,tan,F,F3,5/24/1996,F,118,213
1485,white,M,F3,5/24/1996,F,165,190
1486,white,F,F3,5/24/1996,F,165,135
1501,black,M,F3,5/24/1996,F,222,97
1510,black,F,F3,5/25/1996,SA,336,289
1521,black,M,F3,5/26/1996,SU,348,285
1525,black,M,F3,5/26/1996,SU,333,300
1526,black,M,F3,6/2/1996,SU,115,236
1530,black,M,F3,6/2/1996,SU,395,341
1532,black,M,F3,6/2/1996,SU,395,341
1539,white,M,F3,6/3/1996,M,370,397
1540,black,F,F3,6/3/1996,M,400,382
1541,black,F,F3,6/3/1996,M,400,382
1550,black,F,F3,6/3/1996,M,388,346
1561,black,M,F3,6/3/1996,M,395,341
1563,black,F,F3,6/3/1996,M,115,236
1566,black,M,F3,6/3/1996,M,115,236
1569,white,F,F3,6/3/1996,T,405,337
1575,black,M,F3,6/3/1996,T,406,374
1577,black,F,F3,6/3/1996,T,406,374
1585,black,M,F3,6/3/1996,T,394,351
1586,black,F,F3,6/3/1996,T,394,351
1588,white,M,F3,6/3/1996,T,405,337
1594,black,F,F3,6/3/1996,T,392,364
1597,black,F,F3,6/3/1996,T,403,339
1604,white,M,F3,6/3/1996,T,403,339
1609,black,M,F3,6/3/1996,T,392,364
1612,black,F,F3,6/3/1996,T,390,338
1619,black,M,F3,6/3/1996,T,390,338
1623,black,F,F3,6/3/1996,T,393,360
1626,black,F,F3,6/3/1996,T,393,360
1629,white,M,F3,6/3/1996,T,399,347
1638,tan,M,F3,6/3/1996,T,414,396
1644,black,F,F3,6/3/1996,T,415,354
1645,white,F,F3,6/3/1996,T,415,354
1655,tan,M,F3,6/3/1996,T,373,398
1664,black,F,F3,6/3/1996,T,375,356
1668,black,M,F3,6/3/1996,T,413,379
1672,tan,M,F3,6/3/1996,T,377,366
1677,white,F,F3,6/3/1996,T,377,366
1685,black,F,F3,6/3/1996,T,413,379
1688,black,M,F3,6/5/1996,W,383,372
1696,white,F,F3,6/5/1996,W,378,385
1699,white,M,F3,6/5/1996,W,378,385
1708,black,F,F3,6/6/1996,TH,387,340
1721,black,M,F3,6/6/1996,TH,402,357
1729,black,M,F3,6/6/1996,TH,387,340
1734,white,F,F3,6/6/1996,TH,371,389
1738,white,F,F3,6/8/1996,SA,429,409
1747,black,M,F3,6/8/1996,SA,426,401
1750,black,F,F3,6/8/1996,SA,426,401
1754,white,M,F3,6/8/1996,SA,429,409
1762,white,F,F3,6/9/1996,SU,422,407
1766,white,F,F3,6/10/1996,MO,431,408
1775,black,F,F3,6/11/1996,TU,445,428
1778,black,M,F3,6/11/1996,TU,445,428
1782,black,F,F3,6/11/1996,TU,359,324
1789,white,F,F3,6/12/1996,W,436,425
1791,white,M,F3,6/12/1996,W,436,425
1799,black,F,F3,6/14/1996,F,446,412
1800,black,M,F3,6/14/1996,F,446,412
1817,black,F,F3,6/14/1996,F,443,418
1819,black,M,F3,6/14/1996,F,443,418
1825,black,M,F3,6/14/1996,F,438,417
1826,black,F,F3,6/14/1996,F,438,417
1831,white,F,F3,6/14/1996,F,437,411
1834,black,M,F3,6/14/1996,F,439,420
1839,tan,F,F3,6/14/1996,F,439,420
1848,white,M,F3,6/18/1996,TU,478,462
1855,tan,F,F3,6/18/1996,TU,447,458
1857,black,M,F3,6/18/1996,TU,447,458
1862,white,M,F3,6/18/1996,TU,472,463
1868,black,F,F3,6/18/1996,TU,472,463
1876,black,M,F3,6/19/1996,W,476,441
1884,black,F,F3,6/19/1996,W,473,453
1885,black,M,F3,6/19/1996,W,473,453
1893,tan,M,F3,6/19/1996,W,461,474
1894,white,F,F3,6/19/1996,W,461,474
1899,white,M,F3,6/20/1996,TH,424,410
1917,white,M,F3,6/20/1996,TH,459,470
1919,tan,F,F3,6/20/1996,TH,459,470
1927,white,F,F3,6/20/1996,TH,467,454
1943,tan,F,F3,6/20/1996,TH,452,460
1949,black,M,F3,6/20/1996,TH,475,433
1959,black,F,F3,6/20/1996,TH,455,466
1961,black,M,F3,6/20/1996,TH,455,466
1970,black,F,F3,6/21/1996,F,451,468
1973,black,M,F3,6/21/1996,F,451,468
