id,cc,sex,gen,dob,day,sire,dam
10457,black,M,F8,9/2/1997,T,8844,8688
10458,white,F,F8,9/2/1997,T,8844,8688
10459,white,F,F8,9/2/1997,T,8844,8688
10473,black,F,F8,9/3/1997,W,8734,8971
10474,black,M,F8,9/3/1997,W,8734,8971
10483,white,F,F8,9/3/1997,W,8968,8841
10488,black,M,F8,9/3/1997,W,8968,8841
10493,white,M,F8,9/3/1997,W,8949,8611
10498,white,F,F8,9/3/1997,W,8949,8611
10502,white,F,F8,9/3/1997,W,8949,8611
10505,black,M,F8,9/3/1997,W,8695,8955
10524,white,F,F8,9/4/1997,Th,8692,8721
10529,black,M,F8,9/4/1997,Th,8692,8721
10638,white,M,F8,9/6/1997,Sa,9089,8976
10641,white,F,F8,9/6/1997,Sa,9089,8976
10655,tan,F,F8,9/6/1997,Sa,9033,8728
10656,tan,M,F8,9/6/1997,Sa,9033,8728
10672,tan,F,F8,9/6/1997,Sa,9027,8701
10679,tan,M,F8,9/6/1997,Sa,9027,8701
10692,black,F,F8,9/6/1997,Sa,9130,8942
10693,tan,M,F8,9/6/1997,Sa,9105,8876
10701,black,F,F8,9/6/1997,Sa,9105,8876
10704,white,M,F8,9/6/1997,Sa,8717,9106
10707,white,M,F8,9/6/1997,Sa,8717,9106
10740,white,F,F8,9/7/1997,Su,9102,8828
10741,white,M,F8,9/7/1997,Su,9102,8828
10759,black,F,F8,9/7/1997,Su,9150,8722
10766,white,M,F8,9/7/1997,Su,9210,9096
10770,white,F,F8,9/7/1997,Su,9210,9096
10778,tan,M,F8,9/8/1997,M,9155,8951
10779,tan,M,F8,9/8/1997,M,9155,8951
10785,white,F,F8,9/8/1997,M,9155,8951
10800,tan,F,F8,9/8/1997,M,9271,8664
10839,tan,F,F8,9/10/1997,W,8767,9207
10840,tan,M,F8,9/10/1997,W,8767,9207
10852,black,M,F8,9/10/1997,W,9208,8875
10854,white,F,F8,9/10/1997,W,9208,8875
10864,black,F,F8,9/10/1997,W,9313,9083
10870,tan,M,F8,9/10/1997,W,9313,9083
10873,tan,M,F8,9/10/1997,W,9312,8778
10874,tan,M,F8,9/10/1997,W,9312,8778
10885,white,F,F8,9/10/1997,W,9298,8851
10893,black,M,F8,9/10/1997,W,9298,8851
10899,black,F,F8,9/10/1997,W,8747,9352
10929,black,M,F8,9/11/1997,Th,8868,9299
10931,black,F,F8,9/11/1997,Th,8868,9299
10936,black,M,F8,9/11/1997,Th,8868,9299
10941,tan,M,F8,9/11/1997,Th,9148,9300
10942,tan,F,F8,9/11/1997,Th,9148,9300
10947,black,F,F8,9/11/1997,Th,9148,9300
10954,white,F,F8,9/12/1997,F,8749,9291
10956,white,M,F8,9/12/1997,F,8749,9291
10959,tan,F,F8,9/12/1997,F,9360,8708
10960,tan,M,F8,9/12/1997,F,9360,8708
10963,black,M,F8,9/12/1997,F,9360,8708
10969,black,M,F8,9/13/1997,Sa,8956,9289
