id,cc,sex,gen,dob,day,sire,dam
4571,white,F,F5,11/5/1996,Tu,2549,2538
4573,white,M,F5,11/5/1996,Tu,2549,2538
4585,white,F,F5,11/5/1996,Tu,2561,2291
4589,black,M,F5,11/5/1996,Tu,2561,2291
4590,white,F,F5,11/5/1996,Tu,2561,2291
4639,white,F,F5,11/6/1996,W,2401,2215
4640,tan,M,F5,11/6/1996,W,2401,2215
4688,tan,M,F5,11/6/1996,W,2571,2639
4691,white,F,F5,11/6/1996,W,2571,2639
4715,white,F,F5,11/6/1996,W,2566,2409
4716,white,M,F5,11/6/1996,W,2566,2409
4717,tan,M,F5,11/6/1996,W,2536,2698
4718,black,F,F5,11/6/1996,W,2536,2698
4719,black,M,F5,11/6/1996,W,2536,2698
4823,black,M,F5,11/7/1996,Th,2393,2519
4826,tan,F,F5,11/7/1996,Th,2393,2519
4828,white,M,F5,11/7/1996,Th,2407,2569
4831,white,F,F5,11/7/1996,Th,2407,2569
4833,white,F,F5,11/7/1996,Th,2407,2569
4887,white,M,F5,11/7/1996,Th,2663,2613
4889,tan,F,F5,11/7/1996,Th,2663,2613
4900,tan,F,F5,11/7/1996,Th,2678,2679
4909,tan,M,F5,11/7/1996,Th,2678,2679
4914,tan,M,F5,11/7/1996,Th,2624,2718
4915,tan,F,F5,11/7/1996,Th,2624,2718
4917,tan,F,F5,11/7/1996,Th,2624,2718
4919,black,M,F5,11/7/1996,Th,2700,2380
4921,black,F,F5,11/7/1996,Th,2700,2380
4939,black,M,F5,11/7/1996,Th,2759,2706
4940,black,F,F5,11/7/1996,Th,2759,2706
4970,black,M,F5,11/8/1996,F,2287,2665
4974,white,F,F5,11/8/1996,F,2287,2665
4976,black,M,F5,11/8/1996,F,2287,2665
4987,white,M,F5,11/8/1996,F,2548,2628
4988,white,F,F5,11/8/1996,F,2548,2628
4998,tan,M,F5,11/8/1996,F,2611,2625
5006,black,M,F5,11/8/1996,F,2631,2648
5007,tan,F,F5,11/8/1996,F,2631,2648
5018,white,F,F5,11/8/1996,F,2644,2551
5041,black,F,F5,11/8/1996,F,2585,2695
5050,black,M,F5,11/8/1996,F,2585,2695
5056,black,M,F5,11/8/1996,F,2688,2391
5058,black,M,F5,11/8/1996,F,2688,2391
5060,black,F,F5,11/8/1996,F,2688,2391
5066,white,M,F5,11/8/1996,F,2527,2761
5070,black,F,F5,11/8/1996,F,2527,2761
5084,tan,M,F5,11/8/1996,F,2711,2745
5088,black,F,F5,11/8/1996,F,2711,2745
5111,black,F,F5,11/9/1996,Sa,2653,2396
5113,black,M,F5,11/9/1996,Sa,2653,2396
5135,white,F,F5,11/10/1996,Su,2593,2597
5136,white,M,F5,11/10/1996,Su,2593,2597
5196,black,M,F5,11/20/1996,W,2972,2986
5202,tan,F,F5,11/20/1996,W,2972,2986
5296,tan,F,F5,11/21/1996,Th,2958,3254
5298,white,M,F5,11/21/1996,Th,2958,3254
5305,white,F,F5,11/21/1996,Th,2958,3254
5345,white,F,F5,11/23/1996,Sa,2985,3064
5348,white,F,F5,11/23/1996,Sa,2985,3064
5350,white,M,F5,11/23/1996,Sa,2985,3064
5432,tan,M,F5,11/25/1996,M,3069,3074
5434,tan,F,F5,11/25/1996,M,3069,3074
5436,tan,M,F5,11/25/1996,M,3069,3074
5496,white,F,F5,11/29/1996,F,3320,2976
5503,white,M,F5,11/29/1996,F,3320,2976
5507,tan,M,F5,11/29/1996,F,3333,3378
5510,white,F,F5,11/29/1996,F,3333,3378
5525,white,F,F5,11/30/1996,Sa,3274,2960
5528,tan,M,F5,11/30/1996,Sa,3274,2960
