id,cc,sex,gen,dob,day,sire,dam
12600,tan,M,F9,12/8/1997,M,10778,10473
12602,black,F,F9,12/8/1997,M,10778,10473
12609,black,F,F9,12/9/1997,Tu,10656,10458
12617,white,M,F9,12/9/1997,Tu,10656,10458
12618,black,F,F9,12/9/1997,Tu,10679,10770
12625,white,M,F9,12/9/1997,Tu,10679,10770
12626,white,F,F9,12/9/1997,Tu,10893,10641
12659,white,M,F9,12/10/1997,W,10704,10459
12660,white,F,F9,12/10/1997,W,10704,10459
12674,white,F,F9,12/10/1997,W,10707,10483
12677,tan,F,F9,12/10/1997,W,10474,10785
12680,tan,F,F9,12/10/1997,W,10874,10740
12698,white,M,F9,12/11/1997,Th,10766,10655
12703,black,F,F9,12/11/1997,Th,10766,10655
12704,black,F,F9,12/11/1997,Th,10505,10854
12706,black,M,F9,12/11/1997,Th,10505,10854
12719,black,M,F9,12/11/1997,Th,10852,10498
12726,black,F,F9,12/11/1997,Th,10941,10864
12759,black,M,F9,12/14/1997,Su,10488,10759
12767,black,F,F9,12/14/1997,Su,10840,10701
12773,tan,M,F9,12/14/1997,Su,10493,10942
12778,tan,F,F9,12/14/1997,Su,10493,10942
12788,black,F,F9,12/14/1997,Su,10929,10524
12796,black,M,F9,12/14/1997,Su,10529,10959
12809,black,M,F9,12/14/1997,Su,10963,10692
12820,tan,M,F9,12/15/1997,M,10693,10947
12821,tan,F,F9,12/15/1997,M,10960,10885
12828,white,M,F9,12/15/1997,M,10960,10885
12830,tan,M,F9,12/15/1997,M,10969,10502
12837,black,F,F9,12/15/1997,M,10969,10502
12882,black,M,F9,12/18/1997,Th,10997,10800
12886,black,M,F9,12/21/1997,Su,10638,10899
12889,black,F,F9,12/21/1997,Su,10638,10899
12908,white,F,F9,12/22/1997,M,11016,10672
12944,white,M,F9,12/23/1997,Tu,10741,11017
12955,tan,M,F9,12/23/1997,Tu,11075,10839
12956,tan,F,F9,12/23/1997,Tu,11075,10839
12976,black,M,F9,12/24/1997,W,10956,11040
12984,black,M,F9,12/25/1997,Th,10457,10931
12987,black,F,F9,12/25/1997,Th,10457,10931
13021,B,M,F9,12/28/1997,Su,11118,10954
13026,W,F,F9,12/28/1997,Su,11118,10954
13033,T,F,F9,12/30/1997,Tu,10779,11111
13057,W,M,F9,12/31/1997,W,10873,10976
13063,B,F,F9,12/31/1997,W,10873,10976
13088,W,M,F9,1/2/1999,F,11264,11172
13115,B,F,F9,1/2/1999,F,11408,11228
13135,B,M,F9,1/3/1998,Sa,10936,11251
13144,B,F,F9,1/3/1998,Sa,11149,11352
13153,W,M,F9,1/3/1998,Sa,11149,11352
13155,B,F,F9,1/3/1998,Sa,11346,11237
13157,B,M,F9,1/3/1998,Sa,11346,11237
13184,B,M,F9,1/4/1998,Su,11163,11334
13196,W,F,F9,1/4/1998,Su,11317,11268
13200,W,M,F9,1/4/1998,Su,11355,11180
13203,W,F,F9,1/4/1998,Su,11355,11180
13207,W,F,F9,1/4/1998,Su,11256,11436
13240,B,F,F9,1/5/1998,M,11233,11072
13242,T,M,F9,1/5/1998,M,11233,11072
13247,B,M,F9,1/5/1998,M,11178,11365
13252,W,F,F9,1/5/1998,M,11178,11365
13256,B,M,F9,1/5/1998,M,11394,11162
13271,T,F,F9,1/5/1998,M,11531,11207
13282,W,F,F9,1/7/1998,W,11157,11555
13284,T,M,F9,1/7/1998,W,11157,11555
13298,B,M,F9,1/7/1998,W,11353,11533
13304,B,F,F9,1/7/1998,W,11430,11545
13308,T,M,F9,1/7/1998,W,11430,11545
13346,B,F,F9,1/12/1998,M,11524,11495
13366,B,F,F9,1/13/1998,Tu,11741,11159
13375,B,F,F9,1/14/1998,W,11186,11571
13385,B,M,F9,1/14/1998,W,11186,11571
13393,B,M,F9,1/14/1998,W,11552,11607
13397,B,M,F9,1/14/1998,W,11426,11702
13416,B,F,F9,1/15/1998,Th,11398,11666
13435,W,M,F9,1/16/1998,F,11766,11465
13443,B,F,F9,1/16/1998,F,11766,11465
13448,B,F,F9,1/16/1998,F,11792,11616
13453,,F,F9,1/17/1998,Sa,11209,11780
13456,,M,F9,1/17/1998,Sa,11209,11780
13468,W,F,F9,1/17/1998,Sa,11275,11765
13477,B,F,F9,1/19/1998,M,11336,11824
13482,B,M,F9,1/19/1998,M,11336,11824
13501,B,M,F9,1/22/1998,Th,11749,11411
13513,B,M,F9,1/22/1998,Th,11231,11831
13518,B,F,F9,1/22/1998,Th,11231,11831
13521,B,F,F9,1/22/1998,Th,11664,11845
13522,B,M,F9,1/22/1998,Th,11664,11845
13534,B,M,F9,1/22/1998,Th,11737,11865
13544,W,F,F9,1/22/1998,Th,11864,11655
13550,W,M,F9,1/22/1998,Th,11864,11655
13552,B,M,F9,1/22/1998,Th,11910,11642
13553,B,F,F9,1/22/1998,Th,11910,11642
13565,W,M,F9,1/22/1998,Th,11922,11790
13576,B,F,F9,1/23/1998,F,11822,11512
13579,B,M,F9,1/23/1998,F,11822,11512
13583,W,M,F9,1/23/1998,F,11838,11712
13584,W,F,F9,1/23/1998,F,11838,11712
13593,B,M,F9,1/23/1998,F,11617,11949
13595,B,F,F9,1/23/1998,F,11617,11949
13604,T,F,F9,1/23/1998,F,11948,11314
13610,B,M,F9,1/23/1998,F,11948,11314
13622,B,M,F9,1/25/1998,Su,11834,11526
13628,B,F,F9,1/25/1998,Su,11834,11526
13631,W,M,F9,1/27/1998,Tu,11938,11590
13634,T,F,F9,1/27/1998,Tu,11938,11590
13639,T,F,F9,1/27/1998,Tu,11973,11739
13643,W,M,F9,1/27/1998,Tu,11973,11739
13652,T,F,F9,1/27/1998,Tu,11991,11930
13657,B,M,F9,1/27/1998,Tu,11991,11930
13833,B,F,F9,1/30/1998,F,11506,11344
13834,B,M,F9,1/30/1998,F,11506,11344
13840,B,M,F9,1/30/1998,F,11608,11750
13842,W,F,F9,1/30/1998,F,11608,11750
13847,W,F,F9,1/29/1998,Th,11931,11467
13849,W,M,F9,1/30/1998,F,11701,11978
13850,W,F,F9,1/30/1998,F,11701,11978
13858,T,M,F9,1/30/1998,F,11596,11974
13860,B,M,F9,1/30/1998,F,11984,11798
13865,B,F,F9,1/30/1998,F,11984,11798
13917,T,F,F9,1/31/1998,Sa,11510,11989
13918,T,M,F9,1/31/1998,Sa,11510,11989
13994,B,M,F9,2/4/1998,W,11919,11770
13995,B,F,F9,2/4/1998,W,11919,11770
14079,B,F,F9,2/7/1998,Sa,10870,11106
14112,T,F,F9,2/11/1998,W,11557,11908
14121,B,M,F9,2/11/1998,W,11557,11908
